text,persons,locations,organizations,persons_pred,organizations_pred,locations_pred,TP_persons,FP_persons,FN_persons,support_persons,precision_persons,recall_persons,F1_persons,TP_organizations,FP_organizations,FN_organizations,support_organizations,precision_organizations,recall_organizations,F1_organizations,TP_locations,FP_locations,FN_locations,support_locations,precision_locations,recall_locations,F1_locations
EU rejects German call to boycott British lamb .,,,EU,,,EU;German;British,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,3,1,1,0.0,0.0,0.0
Peter Blackburn,Peter Blackburn,,,Peter Blackburn,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
BRUSSELS 1996-08-22,,BRUSSELS,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .,,,European Commission,,European Commission,German;British,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0
Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,Werner Zwingmann,Germany;Britain,European Union,Werner Zwingmann,European Union,Germany;Britain,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
""" We do n't support any such recommendation because we do n't see any grounds for it , "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing .",Nikolaus van der Pas,,Commission,Nikolaus;Pas,Commission,,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .,,,European Union,,European Union,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .",Franz Fischler,,EU,Franz Fischler,EU Farm,,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,Fischler,Britain;France,,Fischler;Bovine Spongiform Encephalopathy,BSE,Britain;France,1,1,0,1,0.5,1.0,0.6666666666666666,0,1,1,1,0.0,0.0,0.0,2,0,0,2,1.0,1.0,1.0
"But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .",Fischler,,EU,Fischler,,EU,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
